sample_window_id,window_name,training_admission_class,training_role,final_training_admission,package_tier,package_usage_mode,include_in_primary_fit,include_in_auxiliary_fit,include_in_reference_set,include_in_locked_holdout,sample_weight,strict_supervisor_conclusion
ca_train_window_001,late_2025_supply_chain_seed,positive_support_sample_ready,supply_chain_seed_support_positive,positive_support_sample_ready,auxiliary_fit,positive_support_only,0,1,0,0,0.55,"Window 001 is now released as a positive support sample: it already shows real supportive board width across industrial, formal, and emotion-mirror names. It remains below the cleaner January ignition archetype and must not be promoted into final training."
ca_train_window_002,jan_2026_policy_plus_board_ignition,policy_gate_hold,primary_positive_archetype,hold_until_policy_wording_locked,locked_holdout,policy_gate_locked_primary_positive_archetype,0,0,0,1,0.0,"Window 002 is now evidence-locked as a genuine policy-backed ignition backdrop, not a random concept burst. However, final training must still stay on hold until the exact January 8/12 ignition wording is locked."
ca_train_window_003,jan_2026_overheat_turning_point,negative_sample_ready,overheat_negative,negative_sample_ready,primary_fit,core_negative_fit,1,0,0,0,1.0,This is already a strong negative sample because board-turn semantics are explicit.
ca_train_window_004,jan_2026_real_industrial_anchor_check,negative_support_sample_ready,real_anchor_but_not_immediate_tradability,negative_support_sample_ready,auxiliary_fit,negative_support_only,0,1,0,0,0.6,"Window 004 is now released as a negative-support sample: the industrial anchor is real and the target name did rebound locally, but the board stayed misaligned, structure remained far below prior highs, volume did not expand enough, and net flow stayed negative. It must train true-logic-but-not-tradable misalignment, not positive continuation."
ca_train_window_005,mar_2026_satellite_internet_reexpansion,negative_sample_ready,logic_valid_board_misaligned_negative,negative_sample_ready,primary_fit,core_negative_fit,1,0,0,0,1.0,"Window 005 is now a clean anti-false-positive sample: the subtheme logic was real, but the target core did not confirm and the few strong names were only local outliers. This window is ready for negative-sample training."
ca_train_window_006,late_mar_2026_capital_mapping_diffusion,negative_sample_ready,capital_mapping_diffusion_negative,negative_sample_ready,auxiliary_fit,capital_mapping_negative_auxiliary_fit,0,1,0,0,0.65,"Window 006 is now released as a negative sample: the capital-mapping narrative spread attention, but board alignment stayed unavailable, the main mapping names failed to establish a repricing leg, and the few stronger industrial responses remained local outliers. It must train concept-spread-without-structure."
ca_train_window_007,nov_2025_national_policy_preheat,positive_sample_ready,policy_preheat_positive,positive_sample_ready_but_not_final_training,reference_only,positive_context_reference_until_primary_archetype_unlocks,0,0,1,0,0.0,Window 007 is now a usable positive policy-preheat sample with early-ignition characteristics: the policy anchor was followed by broad board confirmation across formal/industrial and emotion-mirror names. It still must remain below final training because window 002 is the cleaner January ignition archetype.
ca_train_window_008,early_2026_meeting_and_forum_chain,subwindow_learning_only,conference_chain_diffusion_decay,subwindow_ready_but_full_window_not_ready,reference_only,subwindow_learning_reference_only,0,0,1,0,0.0,"Window 008 is now evidence-locked as a real December confirmation followed by a weak January continuation and a failed February followthrough. It should train diffusion decay, not a durable primary leg."
ca_train_window_009,external_narrative_space_compute_space_solar,bridge_sample_ready,cross_narrative_bridge,bridge_sample_ready_but_not_final_training,auxiliary_fit,bridge_specific_auxiliary_fit,0,1,0,0,0.5,"Window 009 is now a usable bridge sample: the cross-narrative trigger was real and produced selective A-share responses, but the original mapping target failed and the strongest movers were mostly outliers. It should train bridge imagination versus true mapping confirmation, not durable main-leg persistence."
ca_train_window_010,launch_and_test_milestone_windows,negative_sample_ready,launch_milestone_negative,negative_sample_ready,reference_only,launch_milestone_negative_reference_only,0,0,1,0,0.0,This window is now evidence-backed but still not final until price response is aligned.
