﻿﻿evidence_extract_id,evidence_id,linked_window_id,event_date,evidence_strength,source_kind,source_title,source_url,core_semantic,training_implication,extract_status,review_judgement
ca_extract_001,ca_backfill_001,ca_train_window_007,2025-03-05,p0,official_report_followthrough,2025年政府工作报告提出推动商业航天等新兴产业安全健康发展,https://www.news.cn/info/20250311/96a15220e6544be6a8ef56c99cb548b5/c.html,Government-work-report level direction anchor explicitly places commercial aerospace inside the national new-industry development agenda,This should be treated as the earliest top-down direction anchor rather than as a short-lived theme headline,extracted_from_secondary_official_interpretation,accepted_as_p0_direction_anchor
ca_extract_002,ca_backfill_002,ca_train_window_007,2025-11-25,p0,national_agency_policy,国家航天局推进商业航天高质量安全发展行动计划（2025—2027年）,https://www.cnsa.gov.cn/n6758823/n6758839/c10719382/content.html,The action plan formally incorporates commercial aerospace into the national aerospace development layout and sets 2027 development goals plus implementation measures,This is the strongest formal training anchor for learning how policy converts a concept into a multi-quarter direction,extracted_from_primary_official_source,accepted_as_p0_direction_anchor
ca_extract_003,ca_backfill_002,ca_train_window_007,2025-11-25,p0,national_agency_policy_detail,国家航天局行动计划重点举措：开放国家科研项目 推动成果商业化应用 建设创新平台,https://www.cnsa.gov.cn/n6758823/n6758839/c10719382/content.html,The policy is not vague encouragement only; it includes concrete measures around project openness commercialization and innovation-platform building,This should teach the model that strong policy anchors often come with implementation texture rather than slogans only,extracted_from_primary_official_source,accepted_as_p0_direction_detail
ca_extract_004,ca_backfill_006,ca_train_window_009,2026-03-05,p1,market_media_policy_bridge,报告解读丨打造航空航天新兴支柱产业，代表提到了“太空算力”,https://finance.sina.com.cn/jjxw/2026-03-05/doc-inhpxnft3280509.shtml,The market linked the government-work-report aerospace direction to a new subtheme called space compute and framed it as a strategic future industry leg,This is a classic cross-narrative bridge sample and should be tagged as a candidate new-leg narrative rather than as a stand-alone board-wide ignition,extracted_from_market_media,accepted_as_p1_cross_narrative_bridge
ca_extract_005,ca_backfill_006,ca_train_window_009,2026-03-05,p1,market_media_policy_bridge_detail,太空算力建议：纳入航天强国建设总体布局并加快专项支持政策,https://finance.sina.com.cn/jjxw/2026-03-05/doc-inhpxnft3280509.shtml,The article does not only mention a buzzword; it explicitly proposes policy support project approval acceleration and market-participation activation for compute constellations,This should train the distinction between a pure overseas buzzword and a narrative that starts to seek domestic policy landing,extracted_from_market_media,accepted_as_p1_cross_narrative_detail
ca_extract_006,ca_backfill_009,ca_train_window_010,2026-03-13,p1,official_launch_milestone,长八甲火箭成功发射卫星互联网低轨20组卫星,https://www.cnsa.gov.cn/n6758823/n6758838/index.html,The national space-agency news feed records a concrete commercial-launch-related milestone tying launch progress to satellite internet deployment rather than to abstract theme heat,This should be used as a launch-progress archetype for learning when a real milestone can support a subtheme leg,extracted_from_primary_official_index,accepted_as_p1_launch_progress_anchor
ca_extract_007,ca_backfill_009,ca_train_window_010,2026-03-16,p1,official_launch_milestone,快舟十一号遥七运载火箭发射成功,https://www.cnsa.gov.cn/n6758823/n6758838/index.html,The official news stream shows another concrete multi-satellite launch success in the same period which can be used to study whether repeated launch milestones broaden or merely sustain attention,This should help distinguish milestone density from board-wide ignition and test whether repeated progress creates diffusion or only background persistence,extracted_from_primary_official_index,accepted_as_p1_launch_progress_anchor
ca_extract_008,ca_backfill_004,ca_train_window_008,2025-12-22,p1,industry_conference_chain,2025文昌国际航空航天论坛开幕,https://hi.people.com.cn/n2/2025/1222/c231190-41450781.html,The Wenchang forum bundled commercial-space capital satellite-data application aerospace industry and空天信息 sub-forums into one concentrated conference chain,This should train how conference chains expand an already forming theme into multiple subtheme discussion lanes rather than acting as a stand-alone broad-board ignition,extracted_from_search_snippet,accepted_as_p1_conference_chain_anchor
ca_extract_009,ca_backfill_004,ca_train_window_008,2025-12-22,p1,industry_conference_chain_detail,文昌论坛包含商业航天资本高峰论坛和空天信息产业发展论坛,https://hi.people.com.cn/n2/2025/1222/c231190-41450781.html,The conference content itself matters because it simultaneously touches capital deployment satellite data applications and空天信息产业落地,This should be tagged as subtheme-diffusion evidence rather than as a pure sentiment headline,extracted_from_search_snippet,accepted_as_p1_conference_chain_detail
ca_extract_010,ca_backfill_005,ca_train_window_008,2025-12-24,p1,industry_conference_chain,2025第三届商业航天发展大会在京开幕,https://bj.people.com.cn/n2/2025/1224/c14540-41452906.html,The Beijing commercial-space conference marks a dense catalyst period and should be treated as a formal industry-conference reinforcement rather than as a generic media mention,This should help distinguish a real conference-chain reinforcement from casual thematic chatter,extracted_from_search_snippet,accepted_as_p1_conference_chain_anchor
