symbol,name,group,subgroup,confidence,reason
300900,广联航空,卖铲组,航天结构件/制造配套,high,火箭回收与航天制造链条中反复出现，工业位置更清晰。
688636,智明达,卖铲组,航天电子/嵌入式计算,high,多篇产业链梳理将其纳入火箭/卫星电子链。
688143,长盈通,卖铲组,光纤器件/上游材料,high,在火箭/卫星配套材料链条中多次出现。
688539,高华科技,卖铲组,传感器/检测配套,high,火箭回收及航天电子产业链梳理中多次出现。
688102,斯瑞新材,卖铲组,高温合金/材料,high,既在蓝箭相关资本映射中出现，也在高端材料链里站得住。
600862,中航高科,卖铲组,航空航天复合材料,high,航天强国与航空航天材料链条中的高置信卖铲。
688122,西部超导,卖铲组,钛合金/超导材料,high,高端材料与航天应用强相关。
603267,鸿远电子,卖铲组,电子元器件,medium,常见于军工航天高端元件链，但商业航天直接度略弱于前述票。
600316,洪都航空,同走势镜像组,军工高辨识镜像,medium,航天军工风险偏好抬升时常与商业航天同振。
000768,中航西飞,同走势镜像组,大飞机/军工镜像,medium,更偏大飞机，但常作为航天军工风险偏好的大票镜像。
603131,上海沪工,概念助推组,卫星制造/概念助推,medium,A股卫星制造与商业航天老题材高弹性标的。
603698,航天工程,同走势镜像组,工程建设/高辨识镜像,medium,名称与题材耦合度高，容易成为情绪镜像。
