"sample_window_id","window_name","anchor_date","board_reaction_window","board_alignment_state","representative_symbol_basket","leader_symbol_hint","expected_learning_focus","current_review_state","next_required_backfill","strict_supervisor_note"
"ca_train_window_001","late_2025_supply_chain_seed","2025-12-24","2025-12-24_to_2025-12-30","aligned_board_supportive_response","300900|688523|301306|002792|000547","300900","Learn how low-position供应链验证先于全面板块点火","positive_support_sample_ready","Only optional broader board-breadth decomposition remains; no further gate is blocking support-sample release.","Window 001 is now released as a positive support sample: it already shows real supportive board width across industrial, formal, and emotion-mirror names. It remains below the cleaner January ignition archetype and must not be promoted into final training."
"ca_train_window_002","jan_2026_policy_plus_board_ignition","2026-01-08","2026-01-08_to_2026-01-12","pre_turn_alignment_watch","鲁信创投|金风科技|顺灏股份|华菱线缆|航天电子|航天科技|乾照光电|派克新材","鲁信创投","Learn the transition from policy anchor to broad board ignition and low-position repricing","policy_stack_locked_but_gate_hold","Policy stack is now locked: formal national direction anchor plus central-system and scale-up reinforcement are present. The remaining blocker is still the exact January 8/12 ignition text and its day-of board breadth alignment.","Window 002 is now evidence-locked as a genuine policy-backed ignition backdrop, not a random concept burst. However, final training must still stay on hold until the exact January 8/12 ignition wording is locked."
"ca_train_window_003","jan_2026_overheat_turning_point","2026-01-13","2026-01-13_to_2026-01-15","turning_point_overheat_alignment","航天发展|中国卫通","000547","Learn how overheated board state turns a strong theme into a risk seed","review_ready","Need only optional extension for follow-through days","This is already a strong negative sample because board-turn semantics are explicit."
"ca_train_window_004","jan_2026_real_industrial_anchor_check","2026-01-21","2026-01-21_to_2026-01-24","lockout_misaligned_board_response","华菱线缆","001208","Learn the difference between real产业锚 and immediate tradability when the board is still misaligned","negative_support_sample_ready","Only optional extension remains for broader board-breadth decomposition; the core symbol-level structure gate is now locked.","Window 004 is now released as a negative-support sample: the industrial anchor is real and the target name did rebound locally, but the board stayed misaligned, structure remained far below prior highs, volume did not expand enough, and net flow stayed negative. It must train true-logic-but-not-tradable misalignment, not positive continuation."
"ca_train_window_005","mar_2026_satellite_internet_reexpansion","2026-03-06","2026-03-06_to_2026-03-10","lockout_misaligned_board_response","臻镭科技|卫星互联网相关链","688270","Learn how a valid subtheme supply-chain catalyst can still fail to become a tradable new leg","negative_sample_ready","Core subtheme misalignment slice is now present. Any further work should only add optional board-breadth decomposition, not change the window verdict.","Window 005 is now a clean anti-false-positive sample: the subtheme logic was real, but the target core did not confirm and the few strong names were only local outliers. This window is ready for negative-sample training."
"ca_train_window_006","late_mar_2026_capital_mapping_diffusion","2026-03-28","2026-03-28_to_2026-04-02","raw_only_post_lockout_alignment_absent","金风科技|鲁信创投|斯瑞新材","金风科技","Learn how capital-mapping diffusion extends attention without necessarily creating a fresh tradable leg","negative_sample_ready","Lawful board-state derivation is still absent beyond the frozen boundary, but the symbol-level diffusion slice is now sufficient to lock the anti-pattern. No further gate is needed for negative-sample release.","Window 006 is now released as a negative sample: the capital-mapping narrative spread attention, but board alignment stayed unavailable, the main mapping names failed to establish a repricing leg, and the few stronger industrial responses remained local outliers. It must train concept-spread-without-structure."
"ca_train_window_007","nov_2025_national_policy_preheat","2025-11-25","2025-11-25_to_2025-12-05","policy_anchor_only_pending_board_mapping","待补","待定","Learn what a true national direction anchor looks like before price ignition","early_ignition_like_preheat_ready","Policy-preheat reaction slice is now present. Next pass should only add broader board-breadth decomposition if we need more granularity; the main gate is no longer missing board response.","Window 007 is now a usable positive policy-preheat sample with early-ignition characteristics: the policy anchor was followed by broad board confirmation across formal/industrial and emotion-mirror names. It still must remain below final training because window 002 is the cleaner January ignition archetype."
"ca_train_window_008","early_2026_meeting_and_forum_chain","2025-12-22","2025-12-22_to_2026-02-29","conference_chain_pending_board_mapping","中科星图|航天宏图|海格通信|天银机电|华力创通","中科星图","Learn how conference-density and forum chains create diffusion versus mere attention","breadth_alignment_locked_partial","Continuation narrative and board breadth are now locked: December had real confirmation, January had continuation anchors but no breadth upgrade, and February failed without a new major anchor. Next pass should map exact board-level breadth drivers against symbol-only repair.","Window 008 is now evidence-locked as a real December confirmation followed by a weak January continuation and a failed February followthrough. It should train diffusion decay, not a durable primary leg."
"ca_train_window_009","external_narrative_space_compute_space_solar","2026-03-05","2026-03-05_to_2026-03-31","cross_narrative_pending_board_mapping","海兰信|泰胜风能|巨力索具|超捷股份","海兰信","Learn when overseas narrative bridges create domestic subtheme expansion and when they stay as imagination only","bridge_sample_ready","Cross-narrative bridge slice is now present. Any further work should only refine subtheme-to-symbol mapping quality; the main bridge-versus-misalignment conclusion is already locked.","Window 009 is now a usable bridge sample: the cross-narrative trigger was real and produced selective A-share responses, but the original mapping target failed and the strongest movers were mostly outliers. It should train bridge imagination versus true mapping confirmation, not durable main-leg persistence."
"ca_train_window_010","launch_and_test_milestone_windows","2026-03-13","2026-03-13_to_2026-03-18","launch_chain_pending_board_mapping","中国卫星|航天电子|中科星图|航天环宇","中国卫星","Learn whether repeated official launch milestones broaden the board or remain background persistence","partially_reviewed","Need board breadth and leader/follower response mapping around 2026-03-13 and 2026-03-16","This window is now evidence-backed but still not final until price response is aligned."
