registry_id,layer,decisive_semantic,decisive_reason,extracted_candidate_count,utility_class,source_name
ca_source_001,capital_mapping,continuation_enabler,capital_mapping_with_real_board_implication,5,broader_symbol_pool_expander,东方财富财富号-盘中主要热点题材
ca_source_005,capital_mapping,continuation_enabler,capital_mapping_with_real_board_implication,6,broader_symbol_pool_expander,新浪财经-华菱线缆收购星鑫航天事件
ca_source_006,capital_mapping,continuation_enabler,capital_mapping_with_real_board_implication,159,broader_symbol_pool_expander,韭研公社-持有蓝箭航天的各个公司
ca_source_007,theme_heat,turning_point_watch,decisive_turning_point_risk,2,heat_axis_and_counterpanel_expander,同花顺-商业航天板块集体跳水
ca_source_008,general_theme_context,continuation_enabler,general_context_but_industry_specific,1,event_context_alignment_expander,e公司/产业报道-*ST铖昌深耕卫星通信领域
ca_source_009,supply_chain_validation,continuation_enabler,supply_chain_validation,6,carrier_follow_search_expander,新浪/产业链梳理-卫星互联网核心企业概念股
ca_source_010,supply_chain_validation,continuation_enabler,supply_chain_validation,2,carrier_follow_search_expander,搜狐/再升科技航天材料逻辑
ca_source_011,supply_chain_validation,continuation_enabler,supply_chain_validation,6,carrier_follow_search_expander,新浪财经-西测测试商业航天核心赛道
ca_anchor_001,policy_or_industry_event,termination_or_regulation_risk,regulatory_or_financing_constraint_anchor,0,risk_constraint_anchor_expander,商业航天政策/监管发布
ca_anchor_002,industry_progress,continuation_enabler,launch_or_deployment_anchor,0,event_context_alignment_expander,火箭发射/卫星组网进展
ca_anchor_003,capital_mapping,continuation_enabler,capital_mapping_anchor,0,broader_symbol_pool_expander,股权/并购/融资映射变化
ca_anchor_004,theme_heat,turning_point_watch,sentiment_transition_anchor,0,heat_axis_and_counterpanel_expander,板块情绪扩散/镜像龙头切换
