symbol,name,group,subgroup,rationale
002085,万丰奥威,正式组,低空/飞行器平台龙头,当前本地 snapshot 已将其识别为商业航天/航空交叉中的液态主驱动之一，必须进入正式组。
000738,航发控制,正式组,核心控制/稳定支撑,当前本地 snapshot 已将其识别为商业航天/航天航空交叉中的稳定核心支撑。
600118,中国卫星,正式组,卫星整机/核心龙头,多源报道反复作为商业航天和卫星制造核心龙头出现。
601698,中国卫通,正式组,卫星运营/核心龙头,板块高辨识龙头，概念过热时也被监管风险提示。
600879,航天电子,正式组,核心配套,ETF持仓与热点名单反复出现，属于主驱动链条。
688066,航天宏图,正式组,卫星应用/遥感服务,多篇行业评论列作下游运营服务龙头。
003009,中天火箭,正式组,火箭细分龙头,行业评论反复归入高纯度商业航天链。
688523,航天环宇,正式组,卫星/航天器配套,近期活跃且在ETF/热点报道中持续出现。
688568,中科星图,正式组,卫星数据应用,近期盘中强势名单高频出现。
300045,华力创通,正式组,卫星导航/通信配套,ETF与热点报道中多次出现。
002465,海格通信,正式组,通信导航配套,近期ETF持仓和板块强势名单高频出现。
300342,天银机电,正式组,卫星/航天配套,ETF近期强势持仓之一。
002792,通宇通讯,卖铲组,有源相控阵天线,新浪直接点名为有源相控阵天线细分龙头。
002413,雷科防务,卖铲组,有源相控阵天线,与通宇通讯并列被点名。
001208,华菱线缆,卖铲组,特种线缆/卖铲人,实质切入航空航天线缆与并购星鑫航天事件，非纯概念。
301306,西测测试,卖铲组,检测验证/质量守门人,多篇报道把它作为商业航天核心赛道强势票，同时具备元器件到整机全流程测试验证能力。
301005,超捷股份,卖铲组,箭体结构件,同花顺列出其为蓝箭/天兵/中科宇航提供箭体大部段等。
002342,巨力索具,卖铲组,火箭回收/地面装置,同花顺细分方向明确给出可回收火箭产品支持。
300065,海兰信,卖铲组,海上回收系统,同花顺给出海南商发回收系统中标线索。
300129,泰胜风能,卖铲组,箭体/贮箱/回收设施,同花顺给出与整箭商合作布局火箭结构与回收设施。
001270,*ST铖昌,卖铲组,星载相控阵T/R芯片,多篇产业报道明确其在低轨卫星与星载领域持续发力，是商业航天核心芯片卖铲人。
688270,臻镭科技,卖铲组,星载射频芯片/微系统,卫星互联网与商业航天报道多次点名，属于星载收发链路核心芯片供应商。
600783,鲁信创投,概念助推组,参股蓝箭航天/资本映射,东方财富、新浪、社区都把它列为典型商业航天助推主力。
002202,金风科技,概念助推组,参股蓝箭航天/资本映射,东方财富和社区汇总都指向其为蓝箭航天重要股权关联方。
002565,顺灏股份,概念助推组,太空算力/概念强弹性,同花顺与新浪多次作为强势概念股提及。
603601,再升科技,概念助推组,航天保温材料/概念弹性,具备真实航天材料和SpaceX供应逻辑，但公开资料显示当前营收仍非商业航天主导，更像高价值概念助推。
002471,中超控股,概念助推组,主题扩散助推/高弹性,多篇盘面与资金流报道把它列为商业航天概念主力净流入和强势涨停代表，更像A股主题助推主力。
000547,航天发展,同走势镜像组,情绪龙头/概念高辨识,同花顺和东方财富多次点名其为商业航天高辨识龙头。
002519,银河电子,同走势镜像组,情绪强势镜像,东方财富与新浪近期涨停名单中高频出现。
600775,南京熊猫,同走势镜像组,情绪强势镜像,新浪强势主升浪名单中出现。
600135,乐凯胶片,同走势镜像组,情绪强势镜像,新浪与东方财富名单中出现。
601399,国机重装,同走势镜像组,情绪强势镜像,新浪涨停主升浪名单中出现。
600869,远东股份,同走势镜像组,情绪强势镜像,新浪强势名单中出现。
605123,派克新材,同走势镜像组,材料/高弹性镜像,新浪与东方财富名单中出现。
002361,神剑股份,同走势镜像组,情绪强势镜像,多篇行情报道高频点名。
300102,乾照光电,同走势镜像组,情绪强势镜像,多篇行情报道高频点名。
000901,航天科技,同走势镜像组,高辨识镜像,多篇行情报道高频点名。
301079,邵阳液压,同走势镜像组,情绪强势镜像,新浪、东方财富高频强势名单。
002865,钧达股份,同走势镜像组,跨细分热点镜像,强势名单反复出现，适合当扩散镜像观察。
