"﻿﻿sample_window_id","window_name","date_from","date_to","anchor_scope","source_basis","linked_registry_ids","primary_theme_slug","policy_anchor_state","catalyst_type","novelty_class","position_state","breakout_state","breadth_state","capital_state","tradability_label","target_learning_focus","backfill_status","notes"
"ca_train_window_001","late_2025_supply_chain_seed","2025-12-24","2025-12-30","subtheme_seed","anchored_existing_registry","ca_source_010|ca_source_011","commercial_aerospace","industry_progress_anchor","supply_chain_validation","continuation_reinforcement","low_base","not_breakout","leader_only_push","moderate_confirmation","watch_confirmation_only","seller_shovel_chain_validation_before_broad_breakout","ready","This window is now a released positive support sample: it teaches real low-position seller-shovel validation with supportive board width, but still sits below the cleaner January ignition archetype."
"ca_train_window_002","jan_2026_policy_plus_board_ignition","2026-01-08","2026-01-12","direction_ignition","mixed_existing_plus_manual_backfill","ca_anchor_001|ca_source_001|ca_source_002|ca_source_003|ca_source_004|ca_backfill_013","commercial_aerospace","national_direction_anchor","policy_plus_theme_heat","new_leg_trigger","pre_breakout_platform","platform_breakout","broad_based_rally","capital_driven_rebound","tradable_now","Learn what it looks like when a policy anchor and low-position structure produce a full-board rally","manual_policy_anchor_backfill_required","This is still the highest-priority archetype; scale-up reinforcement is now clearer but final training must still wait for exact January policy wording."
"ca_train_window_003","jan_2026_overheat_turning_point","2026-01-13","2026-01-13","turning_point","anchored_existing_registry","ca_source_007|ca_anchor_004","commercial_aerospace","absent_or_media_only","theme_heat","old_theme_echo","high_position","false_breakout","failed_diffusion","exhaustion_or_distribution","not_tradable","Learn how broad enthusiasm fails once the board is overheated","ready","This window should teach the model that strong theme memory does not override broken structure."
"ca_train_window_004","jan_2026_real_industrial_anchor_check","2026-01-21","2026-01-24","industrial_validation","anchored_existing_registry","ca_source_005|ca_anchor_002","commercial_aerospace","industry_progress_anchor","capital_mapping","continuation_reinforcement","post_hype_pullback","trend_continuation","selective_subtheme_rally","moderate_confirmation","watch_pullback_only","Learn how a real industrial seller-shovel anchor can support selective continuation after the first hype peak","ready","This window is now a released negative-support sample: the industrial anchor is real, but board alignment stayed locked out and the target name failed to upgrade into a clean continuation breakout."
"ca_train_window_005","mar_2026_satellite_internet_reexpansion","2026-03-06","2026-03-10","subtheme_expansion","anchored_existing_registry","ca_source_009|ca_anchor_002","commercial_aerospace","industry_progress_anchor","subtheme_supply_chain","new_leg_trigger","post_hype_pullback","not_breakout","selective_subtheme_rally","headline_only_rebound","watch_confirmation_only","Learn how a valid subtheme catalyst can still fail to become a tradable new leg without board confirmation","ready","Important negative example: good industrial mapping is not enough when board state is still misaligned."
"ca_train_window_006","late_mar_2026_capital_mapping_diffusion","2026-03-28","2026-04-02","diffusion_extension","anchored_existing_registry","ca_source_006|ca_anchor_003","commercial_aerospace","absent_or_media_only","capital_mapping","technical_reheat_only","post_hype_pullback","not_breakout","leader_only_push","headline_only_rebound","not_tradable","Learn how capital-connection stories can extend attention but should not be treated as a fresh primary leg","ready","This is the key anti-pattern for concept spread without enough structure."
"ca_train_window_007","nov_2025_national_policy_preheat","2025-11-01","2025-11-30","top_down_preheat","manual_backfill_required","manual_policy_window_001","commercial_aerospace","national_direction_anchor","policy_release","new_leg_trigger","low_base","not_breakout","pre_turn_watch","moderate_confirmation","watch_confirmation_only","Backfill the first visible national-level direction anchor before the January board ignition","manual_backfill_required","This window exists because the user explicitly wants the full 2025-11 to 2026-04 learning band rather than only the currently retained registry dates."
"ca_train_window_008","early_2026_meeting_and_forum_chain","2025-12-22","2026-02-29","industry_forum_chain","mixed_existing_plus_manual_backfill","ca_backfill_004|ca_backfill_005|ca_backfill_012","commercial_aerospace","ministry_direction_anchor","meeting_or_forum","continuation_reinforcement","post_hype_pullback","not_breakout","selective_subtheme_rally","moderate_confirmation","watch_confirmation_only","Backfill the meeting-driven windows that help distinguish broad board ignition from narrow structure-led rebounds","partially_ready","Conference-chain anchors now cover December forum density plus the January 22 Beijing continuation meeting; next pass should align them with February follow-through structure rather than declare a full-window pass early."
"ca_train_window_009","external_narrative_space_compute_space_solar","2026-02-15","2026-03-31","cross_market_narrative","manual_backfill_required","manual_cross_narrative_window_001","commercial_aerospace","absent_or_media_only","external_narrative","new_leg_trigger","post_hype_pullback","not_breakout","selective_subtheme_rally","headline_only_rebound","watch_confirmation_only","Backfill Musk space compute and space solar narrative windows to learn when overseas stories do and do not create a tradable domestic leg","manual_backfill_required","This should be linked to subtheme diffusion rather than to board-wide ignition by default."
"ca_train_window_010","launch_and_test_milestone_windows","2025-11-01","2026-04-30","industry_progress_chain","mixed_existing_plus_manual_backfill","ca_backfill_009","commercial_aerospace","industry_progress_anchor","launch_or_test","new_leg_trigger","depends_on_subwindow","depends_on_subwindow","selective_subtheme_rally","depends_on_subwindow","depends_on_subwindow","Backfill launch-specific windows to learn when flight/test success becomes a true board catalyst instead of a local spike","partially_ready","Now supported by official March launch milestones; still needs more exact subwindow slicing and board-reaction mapping."
