telegraph_id,title,promotion_target,hot_layer_expiry_ts_utc,important_layer_retained,retention_queue_state
2335568,特朗普：相信能在6日之前与伊朗达成协议,hot_layer_ttl_5d,2026-04-10 16:26:41,False,awaiting_ttl_cleanup
2335569,,hot_layer_ttl_5d,2026-04-10 16:26:41,False,awaiting_ttl_cleanup
2335570,以色列宣布已停止所有对法国防采购,hot_layer_ttl_5d,2026-04-10 16:26:41,False,awaiting_ttl_cleanup
2335571,下周资本市场大事提醒：3月CPI、PPI数据将公布 特朗普威胁伊朗4月6日前打开霍尔木兹海峡,promote_to_important_layer,2026-04-10 16:26:41,True,awaiting_ttl_cleanup
2335572,王楚钦战胜松岛辉空 首夺国际乒联世界杯男单冠军,hot_layer_ttl_5d,2026-04-10 16:26:41,False,awaiting_ttl_cleanup
2335573,以军称打死伊朗革命卫队石油部门高级指挥官,hot_layer_ttl_5d,2026-04-10 16:26:41,False,awaiting_ttl_cleanup
2335574,伊朗北呼罗珊省逮捕6名“美以间谍”,hot_layer_ttl_5d,2026-04-10 16:26:41,False,awaiting_ttl_cleanup
2335575,,hot_layer_ttl_5d,2026-04-10 16:26:41,False,awaiting_ttl_cleanup
2335576,王毅同俄罗斯外长拉夫罗夫通电话,hot_layer_ttl_5d,2026-04-10 16:26:41,False,awaiting_ttl_cleanup
2335577,匈牙利将军事保护“土耳其溪”天然气管道匈牙利段,hot_layer_ttl_5d,2026-04-10 16:26:41,False,awaiting_ttl_cleanup
2335578,一货船在亚速海遭无人机袭击致2人死亡,hot_layer_ttl_5d,2026-04-10 16:26:41,False,awaiting_ttl_cleanup
2335579,特朗普称对救美飞行员结果满意,hot_layer_ttl_5d,2026-04-10 16:26:41,False,awaiting_ttl_cleanup
2335580,伊官员提开放霍尔木兹海峡条件：先用过往船税补偿伊朗战争损失,hot_layer_ttl_5d,2026-04-10 16:26:41,False,awaiting_ttl_cleanup
2335583,伊朗军队称对以色列及美国驻科威特军事目标实施无人机打击,promote_to_important_layer,2026-04-10 16:26:41,True,awaiting_ttl_cleanup
2335584,,hot_layer_ttl_5d,2026-04-10 16:26:41,False,awaiting_ttl_cleanup
2335585,黎巴嫩向以色列提出停火倡议 尚未收到回应,hot_layer_ttl_5d,2026-04-10 16:26:41,False,awaiting_ttl_cleanup
2335586,,hot_layer_ttl_5d,2026-04-10 16:26:41,False,awaiting_ttl_cleanup
2335587,俄外交部：美方放弃最后通牒式措辞有助于推动波斯湾局势缓和,hot_layer_ttl_5d,2026-04-10 16:26:41,False,awaiting_ttl_cleanup
2335588,美官员据悉在讨论对伊战争将进入第二阶段,hot_layer_ttl_5d,2026-04-10 16:26:41,False,awaiting_ttl_cleanup
2335589,伊朗导弹击中以色列海法导致多人受伤,hot_layer_ttl_5d,2026-04-10 16:26:41,False,awaiting_ttl_cleanup
2335711,联黎部队警告其驻地附近的军事行动或引发回击,hot_layer_ttl_5d,2026-04-11 08:02:12,False,awaiting_ttl_cleanup
2335713,俄航天集团：俄计划逐步研发载人登陆火星的技术,hot_layer_ttl_5d,2026-04-11 08:02:12,False,awaiting_ttl_cleanup
2335714,司美格鲁肽口服减重药已开出超60万张处方 诺和诺德CEO：减重药市场目前仅触及“皮毛”,hot_layer_ttl_5d,2026-04-11 08:02:12,False,awaiting_ttl_cleanup
2335715,韩国计划将可再生能源发电占比提升至20%,hot_layer_ttl_5d,2026-04-11 08:06:05,False,awaiting_ttl_cleanup
2335716,前北约欧洲高层：若美国真想“离婚” 没问题！,hot_layer_ttl_5d,2026-04-11 08:06:05,False,awaiting_ttl_cleanup
2335717,消息人士称美伊收到有关立即停火的计划,hot_layer_ttl_5d,2026-04-11 08:06:05,False,awaiting_ttl_cleanup
2335718,消息人士称美伊停火协议或将在6日生效,hot_layer_ttl_5d,2026-04-11 08:06:05,False,awaiting_ttl_cleanup
2335719,伊朗称正审阅调解方最新停火提案,hot_layer_ttl_5d,2026-04-11 08:06:05,False,awaiting_ttl_cleanup
2335721,亚航长程票价最高上涨40% 首席执行官称因伊朗冲突所致,hot_layer_ttl_5d,2026-04-11 08:06:05,False,awaiting_ttl_cleanup
2335722,广生堂：乙肝创新药尚处于在研阶段,promote_to_important_layer,2026-04-11 08:06:05,True,awaiting_ttl_cleanup
2335723,海泰科：筹划购买旭域股份控制权并募集配套资金 股票停牌,promote_to_important_layer,2026-04-11 08:06:05,True,awaiting_ttl_cleanup
2335724,,hot_layer_ttl_5d,2026-04-11 08:06:05,False,awaiting_ttl_cleanup
2335725,伊朗伊斯兰革命卫队情报机构领导人在美以袭击中身亡,hot_layer_ttl_5d,2026-04-11 08:06:05,False,awaiting_ttl_cleanup
2335731,清明假期预计跨区域流动8.4亿人次,hot_layer_ttl_5d,2026-04-11 08:06:05,False,awaiting_ttl_cleanup
2335732,,hot_layer_ttl_5d,2026-04-11 08:06:05,False,awaiting_ttl_cleanup
2335737,WTI原油价格跌超2%,hot_layer_ttl_5d,2026-04-11 08:06:05,False,awaiting_ttl_cleanup
2335739,,hot_layer_ttl_5d,2026-04-11 08:06:05,False,awaiting_ttl_cleanup
2335741,深南电A：拟由控股子公司投建翠亨新区300MW/600MWh独立储能电站（二、三期）项目,promote_to_important_layer,2026-04-11 08:06:05,True,awaiting_ttl_cleanup
2335743,,hot_layer_ttl_5d,2026-04-11 08:06:05,False,awaiting_ttl_cleanup
2335745,中东战火点燃纺织业核心原料 有窗帘企业表示窗帘可能要涨价了,hot_layer_ttl_5d,2026-04-11 08:06:05,False,awaiting_ttl_cleanup
2335748,中国核电：第一季度上网电量为549.25亿千瓦时 同比下降2.7%,promote_to_important_layer,2026-04-11 08:06:05,True,awaiting_ttl_cleanup
2335749,,promote_to_important_layer,2026-04-11 08:06:05,True,awaiting_ttl_cleanup
2335750,,hot_layer_ttl_5d,2026-04-11 08:06:05,False,awaiting_ttl_cleanup
2335787,印度官员：供应给尿素工厂的天然气配额已提升至正常水平的90%,hot_layer_ttl_5d,2026-04-11 10:59:05,False,awaiting_ttl_cleanup
2335789,征和工业：是张雪机车的官方技术合作伙伴 为张雪机车供应链传动系统,promote_to_important_layer,2026-04-11 10:59:05,True,awaiting_ttl_cleanup
2335790,,hot_layer_ttl_5d,2026-04-11 11:02:03,False,awaiting_ttl_cleanup
2335791,,hot_layer_ttl_5d,2026-04-11 11:02:03,False,awaiting_ttl_cleanup
2335792,,hot_layer_ttl_5d,2026-04-11 11:08:03,False,awaiting_ttl_cleanup
2335793,,hot_layer_ttl_5d,2026-04-11 11:11:03,False,awaiting_ttl_cleanup
2335795,清明假期上海市共接待游客739.76万人次 同比增长5.64%,hot_layer_ttl_5d,2026-04-11 11:17:03,False,awaiting_ttl_cleanup
2335796,佩斯科夫：乌克兰问题谈判目前处于暂停状态,hot_layer_ttl_5d,2026-04-11 11:17:03,False,awaiting_ttl_cleanup
2335798,,hot_layer_ttl_5d,2026-04-11 11:29:03,False,awaiting_ttl_cleanup
2335803,,hot_layer_ttl_5d,2026-04-11 11:29:03,False,awaiting_ttl_cleanup
2335806,,hot_layer_ttl_5d,2026-04-11 11:32:03,False,awaiting_ttl_cleanup
2335807,伊朗外交部发言人：国防优先 拒绝胁迫谈判,hot_layer_ttl_5d,2026-04-11 11:38:03,False,awaiting_ttl_cleanup
2335808,,hot_layer_ttl_5d,2026-04-11 11:47:04,False,awaiting_ttl_cleanup
2335810,,hot_layer_ttl_5d,2026-04-11 11:53:03,False,awaiting_ttl_cleanup
2335811,印度主要股指上涨1% 金融股领涨,hot_layer_ttl_5d,2026-04-11 11:59:03,False,awaiting_ttl_cleanup
2335812,,hot_layer_ttl_5d,2026-04-11 12:02:03,False,awaiting_ttl_cleanup
2335813,,promote_to_important_layer,2026-04-11 12:05:03,True,awaiting_ttl_cleanup
2335814,中信证券：重点推荐储能产业链电芯、PCS、集成等环节的头部厂商,promote_to_important_layer,2026-04-11 12:05:03,True,awaiting_ttl_cleanup
2335815,,hot_layer_ttl_5d,2026-04-11 12:05:03,False,awaiting_ttl_cleanup
2335816,伊朗外交部发言人：美方营救飞行员行动或为窃取浓缩铀,hot_layer_ttl_5d,2026-04-11 12:05:03,False,awaiting_ttl_cleanup
2335818,超20家A股上市公司近一周披露并购重组最新公告 海泰科筹划购买旭域股份控制权股票明起停牌,promote_to_important_layer,2026-04-11 12:05:03,True,awaiting_ttl_cleanup
2335819,上海今日最高气温达29.1℃ 节后降温又有雨,hot_layer_ttl_5d,2026-04-11 12:05:03,False,awaiting_ttl_cleanup
2335820,英国向Anthropic抛出橄榄枝 邀请其扩张伦敦业务并探讨双重上市,hot_layer_ttl_5d,2026-04-11 12:05:03,False,awaiting_ttl_cleanup
2335821,伊朗布什尔省石油化工设施遭袭,hot_layer_ttl_5d,2026-04-11 12:05:03,False,awaiting_ttl_cleanup
2335823,中信证券：配置要逐步缩圈 继续聚焦在中国优势制造,hot_layer_ttl_5d,2026-04-11 12:05:03,False,awaiting_ttl_cleanup
2335824,,hot_layer_ttl_5d,2026-04-11 12:05:03,False,awaiting_ttl_cleanup
2335825,,hot_layer_ttl_5d,2026-04-11 12:05:03,False,awaiting_ttl_cleanup
2335826,清明假期 全国重点零售和餐饮企业日均销售额同比增长2.4%,promote_to_important_layer,2026-04-11 12:05:03,True,awaiting_ttl_cleanup
2335829,,promote_to_important_layer,2026-04-11 12:05:03,True,awaiting_ttl_cleanup
2335830,我国茶产业链规模已超1万亿元,hot_layer_ttl_5d,2026-04-11 12:05:03,False,awaiting_ttl_cleanup
2335831,伊朗发动“真实承诺-4”第98波行动 打击美“的黎波里”号两栖攻击舰,hot_layer_ttl_5d,2026-04-11 12:05:03,False,awaiting_ttl_cleanup
2335832,知情官员称美伊停火可能性“依然渺茫”,hot_layer_ttl_5d,2026-04-11 12:05:03,False,awaiting_ttl_cleanup
2335833,以军称伊朗“圣城旅”特种作战部队一指挥官身亡,hot_layer_ttl_5d,2026-04-11 12:05:03,False,awaiting_ttl_cleanup
