task_id,task_name,sample_window_id,window_name,training_role,package_tier,package_usage_mode,task_usage_tier,allow_in_task_fit,allow_as_task_reference,allow_as_task_holdout,task_sample_weight,strict_task_usage_rule,strict_supervisor_conclusion
ca_task_003,breadth_regime_task,ca_train_window_001,late_2025_supply_chain_seed,supply_chain_seed_support_positive,auxiliary_fit,positive_support_only,fit_auxiliary,1,0,0,0.55,"Allow only as supportive early-board-width positive context for breadth, capital, and structure tasks.","Window 001 is now released as a positive support sample: it already shows real supportive board width across industrial, formal, and emotion-mirror names. It remains below the cleaner January ignition archetype and must not be promoted into final training."
ca_task_004,capital_confirmation_task,ca_train_window_001,late_2025_supply_chain_seed,supply_chain_seed_support_positive,auxiliary_fit,positive_support_only,fit_auxiliary,1,0,0,0.55,"Allow only as supportive early-board-width positive context for breadth, capital, and structure tasks.","Window 001 is now released as a positive support sample: it already shows real supportive board width across industrial, formal, and emotion-mirror names. It remains below the cleaner January ignition archetype and must not be promoted into final training."
ca_task_005,structure_gate_task,ca_train_window_001,late_2025_supply_chain_seed,supply_chain_seed_support_positive,auxiliary_fit,positive_support_only,fit_auxiliary,1,0,0,0.55,"Allow only as supportive early-board-width positive context for breadth, capital, and structure tasks.","Window 001 is now released as a positive support sample: it already shows real supportive board width across industrial, formal, and emotion-mirror names. It remains below the cleaner January ignition archetype and must not be promoted into final training."
ca_task_001,top_down_direction_task,ca_train_window_002,jan_2026_policy_plus_board_ignition,primary_positive_archetype,locked_holdout,policy_gate_locked_primary_positive_archetype,locked_holdout,0,0,1,0.0,Keep as locked holdout for every task until exact January ignition wording is locked.,"Window 002 is now evidence-locked as a genuine policy-backed ignition backdrop, not a random concept burst. However, final training must still stay on hold until the exact January 8/12 ignition wording is locked."
ca_task_002,new_leg_or_old_echo_task,ca_train_window_002,jan_2026_policy_plus_board_ignition,primary_positive_archetype,locked_holdout,policy_gate_locked_primary_positive_archetype,locked_holdout,0,0,1,0.0,Keep as locked holdout for every task until exact January ignition wording is locked.,"Window 002 is now evidence-locked as a genuine policy-backed ignition backdrop, not a random concept burst. However, final training must still stay on hold until the exact January 8/12 ignition wording is locked."
ca_task_003,breadth_regime_task,ca_train_window_002,jan_2026_policy_plus_board_ignition,primary_positive_archetype,locked_holdout,policy_gate_locked_primary_positive_archetype,locked_holdout,0,0,1,0.0,Keep as locked holdout for every task until exact January ignition wording is locked.,"Window 002 is now evidence-locked as a genuine policy-backed ignition backdrop, not a random concept burst. However, final training must still stay on hold until the exact January 8/12 ignition wording is locked."
ca_task_004,capital_confirmation_task,ca_train_window_002,jan_2026_policy_plus_board_ignition,primary_positive_archetype,locked_holdout,policy_gate_locked_primary_positive_archetype,locked_holdout,0,0,1,0.0,Keep as locked holdout for every task until exact January ignition wording is locked.,"Window 002 is now evidence-locked as a genuine policy-backed ignition backdrop, not a random concept burst. However, final training must still stay on hold until the exact January 8/12 ignition wording is locked."
ca_task_005,structure_gate_task,ca_train_window_002,jan_2026_policy_plus_board_ignition,primary_positive_archetype,locked_holdout,policy_gate_locked_primary_positive_archetype,locked_holdout,0,0,1,0.0,Keep as locked holdout for every task until exact January ignition wording is locked.,"Window 002 is now evidence-locked as a genuine policy-backed ignition backdrop, not a random concept burst. However, final training must still stay on hold until the exact January 8/12 ignition wording is locked."
ca_task_006,policy_to_subtheme_diffusion_task,ca_train_window_002,jan_2026_policy_plus_board_ignition,primary_positive_archetype,locked_holdout,policy_gate_locked_primary_positive_archetype,locked_holdout,0,0,1,0.0,Keep as locked holdout for every task until exact January ignition wording is locked.,"Window 002 is now evidence-locked as a genuine policy-backed ignition backdrop, not a random concept burst. However, final training must still stay on hold until the exact January 8/12 ignition wording is locked."
ca_task_002,new_leg_or_old_echo_task,ca_train_window_003,jan_2026_overheat_turning_point,overheat_negative,primary_fit,core_negative_fit,fit_primary,1,0,0,1.0,Use as clean negative new-leg-vs-echo fit sample.,This is already a strong negative sample because board-turn semantics are explicit.
ca_task_003,breadth_regime_task,ca_train_window_003,jan_2026_overheat_turning_point,overheat_negative,primary_fit,core_negative_fit,fit_primary,1,0,0,1.0,Use as clean negative fit sample under the current strict task boundary.,This is already a strong negative sample because board-turn semantics are explicit.
