label_group,label_name,allowed_value,definition,when_to_use,when_not_to_use
policy_anchor_state,policy_anchor_state,national_direction_anchor,A state-level or government-work-report style anchor that can define a medium-term direction,Use when the catalyst is a national development direction rather than a company or media story,Do not use for pure theme media heat or capital-mapping articles
policy_anchor_state,policy_anchor_state,ministry_direction_anchor,A ministry or regulator level industrial anchor that is below national strategy but above theme media,Use for formal ministerial or industry policy guidance,Do not use for company announcements or overseas opinion pieces
policy_anchor_state,policy_anchor_state,industry_progress_anchor,An industry-progress anchor such as launch progress test success order chain or supply-chain validation,Use when the event materially validates industry progress,Do not use when the article only repeats concept popularity
policy_anchor_state,policy_anchor_state,absent_or_media_only,No hard policy or industrial anchor is present and the story remains media-driven,Use for theme heat capital mapping or narrative-only pieces,Do not use when there is formal policy or real industrial validation
catalyst_type,catalyst_type,policy_release,Formal policy release or strategic document,Use for government or regulator direction-setting items,Do not use for launch/test/company-only items
catalyst_type,catalyst_type,supply_chain_validation,A concrete validation of supplier role testing role or industrial-chain mapping,Use when the story ties an A-share name to real industrial participation,Do not use for loose capital speculation
catalyst_type,catalyst_type,meeting_or_forum,Industry meeting forum or conference catalyst,Use when the event is a scheduled gathering with directional interpretation,Do not use for unrelated market commentary
catalyst_type,catalyst_type,launch_or_test,Launch flight or test milestone catalyst,Use for rocket satellite or test-success windows,Do not use for second-hand concept summary pieces
catalyst_type,catalyst_type,capital_mapping,Capital connection merger financing or shareholding mapping,Use when the main story is ownership or investment connection,Do not use for direct industrial progress
catalyst_type,catalyst_type,external_narrative,Overseas thematic narrative such as space compute or space solar,Use when domestic mapping depends on a foreign narrative bridge,Do not use for domestic policy anchors
novelty_class,novelty_class,new_leg_trigger,The event opens a new tradable leg rather than merely repeating an old story,Use only when there is a clear new expansion vector or strong confirmation,Do not use when the market is only reheating an old theme
novelty_class,novelty_class,continuation_reinforcement,The event strengthens an existing direction without clearly creating a new leg,Use when the board already has direction and the event deepens conviction,Do not use for first-ignition windows
novelty_class,novelty_class,old_theme_echo,The event repeats an already-priced story with limited fresh trading value,Use when attention persists but no new edge is created,Do not use when a new subtheme or new market confirmation appears
novelty_class,novelty_class,technical_reheat_only,The event mainly causes a technical rebound or local heat without fresh strategic information,Use when structure and breadth do not confirm despite narrative attention,Do not use when the board expands materially
position_state,position_state,low_base,The board or stock is still in a relatively low and unextended structure,Use when pre-breakout low-position repricing is still possible,Do not use once a strong first wave already completed
position_state,position_state,pre_breakout_platform,The board sits near a platform and can transition into a clean breakout,Use when the key question is whether policy or catalyst can trigger platform expansion,Do not use after a clear breakout has already happened
position_state,position_state,main_uptrend,The board is already in a strong uptrend with working trend structure,Use when continuation rather than ignition is being evaluated,Do not use for obvious high-position fading structures
position_state,position_state,high_position,The board or stock is visibly extended and vulnerable to failed follow-through,Use when good news may still fail because structure is crowded,Do not use for fresh low-position setups
position_state,position_state,post_hype_pullback,The board already completed a hype leg and is now in a retrace or repair state,Use when testing whether a second wave is real or only a rebound,Do not use for first-wave ignition
breakout_state,breakout_state,not_breakout,No valid breakout has been confirmed yet,Use when the board remains under supply or still inside a base,Do not use once a platform has clearly broken with breadth
breakout_state,breakout_state,platform_breakout,A clean breakout through a visible prior platform,Use when price and breadth jointly confirm a new stage,Do not use for intraday spikes without follow-through
breakout_state,breakout_state,false_breakout,Price briefly breaks but fails to establish valid continuation,Use when structure breaks and quickly weakens,Do not use for stable trend continuation
breakout_state,breakout_state,trend_continuation,The board extends an already valid trend rather than breaking a new base,Use when the event supports continuation in an existing uptrend,Do not use for first-stage ignition logic
breadth_state,breadth_state,broad_based_rally,Front middle and follower names all respond and breadth is clearly broad,Use when the board is moving as a true board rather than as one or two leaders,Do not use when only a narrow slice responds
breadth_state,breadth_state,selective_subtheme_rally,Only some subthemes or chain segments respond strongly,Use when the move is real but not board-wide,Do not use when almost the entire board participates
breadth_state,breadth_state,leader_only_push,Only a small number of leaders move while the rest fail to follow,Use when there is narrative attention but weak board diffusion,Do not use when middle and follower names confirm
breadth_state,breadth_state,failed_diffusion,The board attempted expansion but follow-through failed,Use when day-two or same-window diffusion collapses,Do not use for stable selective rallies
capital_state,capital_state,capital_driven_rebound,Turnover expansion and money concentration clearly drive the rebound,Use when capital behavior is the main reason the event converts into price action,Do not use when the move is mostly headline-only
capital_state,capital_state,moderate_confirmation,There is some confirmation but not enough to call it a funding-led surge,Use for intermediate states with partial but not overwhelming support,Do not use when there is either no support or very strong support
capital_state,capital_state,headline_only_rebound,The move is mostly a narrative response without strong funding confirmation,Use when there is news but little sustainable money follow-through,Do not use when turnover and breadth expand strongly
capital_state,capital_state,exhaustion_or_distribution,Price action suggests crowding exhaustion or distribution rather than healthy continuation,Use when high position and failed breadth dominate,Do not use for clean early-stage ignition
