﻿﻿﻿evidence_id,linked_window_id,evidence_tier,evidence_role,official_level,event_date,source_title,source_url,training_use,evidence_status,review_note
ca_backfill_001,ca_train_window_007,p0,national_policy_anchor,national,2025-03-05,2025年政府工作报告提出推动商业航天等新兴产业安全健康发展,https://www.news.cn/info/20250311/96a15220e6544be6a8ef56c99cb548b5/c.html,Use as the first national policy anchor that explains why the late-2025 to early-2026 board can be treated as a direction rather than a pure concept burst,partially_extracted,Secondary official interpretation extracted; still worth upgrading later to a cleaner primary wording source.
ca_backfill_002,ca_train_window_007,p0,national_industry_plan,national_agency,2025-12-08,国家航天局推进商业航天高质量安全发展行动计划（2025—2027年）,https://www.cnsa.gov.cn/n6758823/n6758839/c10719382/content.html,Use as the strongest formal policy anchor for the 2025-11 to 2026-04 training band,partially_extracted,Primary official source extracted at high level; later pass should add more exact measure fields.
ca_backfill_003,ca_train_window_007,p1,macro_supervision_signal,central_system,2025-12-30,国防科工局：促进商业航天发展 推动航天产业化,https://finance.people.com.cn/n1/2025/1230/c1004-40635700.html,Use as a year-end central-system reinforcement signal before the January ignition window,partially_extracted,Direction-reinforcement semantics are now partly extracted; still worth a later pass on primary wording.
ca_backfill_004,ca_train_window_008,p1,industry_conference_chain,industry_meeting,2025-12-22,2025文昌国际航空航天论坛开幕,https://hi.people.com.cn/n2/2025/1222/c231190-41450781.html,Use to build the conference-chain catalyst class that the user explicitly wants to learn,partially_extracted,Conference-chain semantics extracted from authoritative snippet; later pass should still capture exact session wording.
ca_backfill_005,ca_train_window_008,p1,industry_conference_chain,industry_meeting,2025-12-24,2025第三届商业航天发展大会在京开幕,https://bj.people.com.cn/n2/2025/1224/c14540-41452906.html,Use as a second conference-chain anchor to distinguish policy宣贯 from direct board ignition,partially_extracted,Conference-chain reinforcement semantics extracted; later pass should still refine whether the board treated it as reinforcement or ignition.
ca_backfill_006,ca_train_window_009,p1,external_narrative_bridge,market_commentary,2026-03-05,报告解读丨打造航空航天新兴支柱产业，代表提到了太空算力,https://finance.sina.com.cn/jjxw/2026-03-05/doc-inhpxnft3280509.shtml,Use as the bridge sample for '太空算力' narrative expansion inside the aerospace theme,partially_extracted,Narrative bridge semantics extracted; later pass should tie it to actual board reaction and subtheme spread.
ca_backfill_007,ca_train_window_009,p1,external_narrative_bridge,industry_commentary,2026-03-19,产业链人士共话商业航天发展趋势,https://m.yunnan.cn/system/2026/03/19/033921486.shtml,Use to capture how太空算力 and related future scenarios entered industry discussion rather than only stock-market media heat,queued_for_manual_extract,Need to tag whether this is new-leg enabling or only thematic reinforcement.
ca_backfill_008,ca_train_window_010,p1,launch_progress_anchor,official_commentary,2025-09-05,财米油盐｜商业航天，打造你的太空生活圈,https://finance.people.com.cn/n1/2025/0905/c1004-40558008.html,Use as the launch-density and commercial-launch-site background anchor for the launch/test milestone bundle,queued_for_manual_extract,Need to pair this background piece with concrete launch/test dates inside the learning band.
ca_backfill_009,ca_train_window_010,p1,launch_progress_anchor,industry_commentary,2026-01-20,2025年度商业航天发射达50次,https://www.cnsa.gov.cn/n6758823/n6758838/index.html,Use as a hard milestone summary that can support the launch-progress axis inside the sample band,partially_extracted,The official index already yielded concrete March milestone items; later pass should still resolve the year-summary node if available.
ca_backfill_010,ca_train_window_007,p2,local_policy_expansion,provincial_policy,2025-04-29,四川省商业航天高质量发展行动计划（2025—2030年）,https://www.sc.gov.cn/10462/zfwjts/2025/4/29/bd4c831939274cf2a29997a7baf6d91b/files/%E5%B7%9D%E5%8A%9E%E5%8F%9116%E5%8F%B7%E5%88%A0%E5%87%8F%E7%89%88.pdf,Use as a local-policy expansion sample to distinguish national anchors from地方加码政策,queued_for_manual_extract,Useful for hierarchy learning but should rank below national-level anchors.
ca_backfill_011,ca_train_window_007,p2,government_report_followthrough,regional_policy,2026-02-04,2026年上海政府工作报告极简版来了（支持航空航天与卫星互联网）,https://ghzyj.sh.gov.cn/gzdt/20260209/3cf6f8953b0849dda39e688a87bb0a23.html,Use as a regional follow-through sample after national direction upgrade to '航空航天/卫星互联网',queued_for_manual_extract,Should be tagged as reinforcement rather than first direction anchor.
ca_backfill_012,ca_train_window_008,p1,industry_conference_chain,municipal_science_event,2026-01-22,第三届北京商业航天产业高质量发展推进会将在北京经开区举办,https://kw.beijing.gov.cn/xwdt/kcyx/kcyxkchd/202601/t20260122_4455459.html,Use as the January conference-chain continuation anchor after the December forum cluster,partially_extracted,This is now sufficient as a continuation anchor but still needs exact board-response slicing around 2026-01-23 to 2026-01-24.
ca_backfill_013,ca_train_window_002,p1,scale_up_direction_reinforcement,market_policy_followthrough,2026-01-07,商业航天“国家队”出手 产业发展动力足,https://finance.people.com.cn/n1/2026/0107/c1004-40640610.html,Use as a scale-up reinforcement signal immediately before the January ignition window,partially_extracted,This is useful as a pre-ignition reinforcement anchor but still cannot replace exact policy wording.
